userName,score,at,content
Hamka lala,3,2023-11-05 03:07:41,Aplikasi BSI jangan ada gangguan jaringan Internet.
SENA PAMELIA,5,2023-11-04 22:53:38,Sering error mohon diperbaiki krn sangat mengganggu transaksi
Sahabat Berbagi'94,1,2023-11-04 19:06:57,Mao buka rekening aja ga bisa bisa
Nyimas Fajarwati Ns,5,2023-11-04 15:58:30,Good
Max Hean,1,2023-11-04 13:37:07,"Sering kali gak bisa transaksi karena ""Permintaan kehabisan waktu"", padahal koneksi internet saya bagus banget, dan ini bukan sekali aja terjadi. Hal tersebut sering terjadi ketika sore hari jam 15-18, malam hari, hari sabtu dan minggu. Nasabah BSI banyak yang gunakan bsi mobile, dan kebutuhan nasabah akan sumber keuangannya itu 24 jam. Kalau lagi urgent yang ada mau pecahin hp karena gak bisa transaksi."
Agus wisudayana,1,2023-11-04 12:56:47,"Saya kecewa dengan bsi ini karena saya setor tunai saldo nya tidak masuk keatm saya, saya melakukan pengaduan sama sekali tidak membantu sama sekali buat apa diadakan cs kalo tidak membantu!!!!"
Yheyhe Cellular,3,2023-11-04 12:23:33,"Tolong dipermudah untuk cek saldo dan transfer, kurangin tombol/menu yg tak berguna biar semakin ringkas, terima kasih"
Humaidi,5,2023-11-04 11:27:35,Nice
udayana irfa,1,2023-11-04 10:53:30,"Verifikasi wajah hanya screen hitam terus, gk bisa lanjut parah"
Abquro Ridwan,4,2023-11-04 10:40:58,Tingkatkan Fitur lagi lebih banyak
Frengki Franata,3,2023-11-04 09:53:49,"Kenapa tiba"" saya tidak dapat masuk ke aplikasi BSI mobile nya Sesi waktu habis selalu dikatakan"
dyo gg,1,2023-11-04 03:31:34,kok apk ga bisa di hapus dari perangkat?
Wildan,1,2023-11-03 23:28:03,"Permintaan kehabisan waktu Parah sih mau narik uang jd gk bisa, mana dah 2 hari lagi"
Yose Rizal,2,2023-11-03 20:14:29,Baguskmp TDK bisa
Siti Annisa,1,2023-11-03 14:57:42,Aplikasinya suka eror
Irvan Prayoga,5,2023-11-03 13:52:24,"Assalamualaikum,,, Alhamdulillah,,,"
Entol Luky Lukmansyah,1,2023-11-03 12:20:32,"Service lambat, ga informatif, kecewa.... Disuruh Nelp 14040 males banget,,,,, makan pulsa, BSI payah payah, prosedur capruk"
erik yoga pradana,5,2023-11-03 08:47:58,Sangat memuaskan
Risdi Anto,2,2023-11-03 08:03:37,Oke..
Taryali Ali,5,2023-11-03 07:31:13,Lancar mantapp
Andi Djamirudin,5,2023-11-03 06:06:16,👍
Jaka Logika,2,2023-11-03 04:26:17,Kayaknya 2 kali pembayaran internet saya bermasalah. Saldo berkurang tapi pembayaran internet blm lunas. Saya katakan 'kayaknya' karena pembayaran yg pertama saya lupa untuk cek jumlah saldo. Tp pembayaran kedua ini pasti. Solusinya gmn kak? Ini merugikan sekali
J M,1,2023-11-03 04:23:04,Terlalu sering bermasalah
unses Parody,2,2023-11-03 03:33:54,"Min tolong perbaikin untuk KRIS nya, setiap traksansi berhasil tapi saldonya gk masuk"
Idah Faridha,5,2023-11-03 02:31:46,Membantu
Bagus s,1,2023-11-03 02:26:43,aplikasi kurang respon aktivasi gagal terus jaringan internet lancar
Zul Afdal,1,2023-11-03 02:22:44,"Tadi pagi saya update app BSI Mobile, malah sekarang saya tidak dapat menggunakan app lagi. Layar putih, nge-blank, sesaat setelah tampilan muka app. Mohon disegerakan / disediakan Update terbaru, perbaikan mendasar untuk dapat kami pergunakan kembali app BSI Mobile ini."
Adi “Serdadu Koplax” Brata,5,2023-11-02 19:59:10,Mantab
